User_ID;Ins_ID;Email_IDs
string;string;string
U0000000000006;I0000001;aniketjadav@gmail.com
U0000000000007;I0000001;aniketjadav2@gmail.com
U0000000000007;I0000001;aniketjadav3@gmail.com
U0000000000007;I0000002;ankitraj@gmail.com
U0000000000008;I0000002;ankitraj2@gmail.com
U0000000000008;I0000002;ankitraj3@gmail.com
U0000000000009;I0000003;ashiwnjha@gmail.com
U0000000000010;I0000003;ashiwnjha2@gmail.com
U0000000000010;I0000004;bipulbharti@gmail.com
U0000000000016;I0000005;deepakrawal@gmail.com
U0000000000017;I0000005;deepakrawal2@gmail.com
U0000000000017;I0000006;divyanksaner@gmail.com
U0000000000018;I0000007;gaganchoudharyr@gmail.com
U0000000000018;I0000007;gaganchoudharyr2@gmail.com
U0000000000019;I0000008;golusingh@gmail.com
U0000000000020;I0000008;golusingh2@gmail.com
U0000000000020;I0000009;harshbaghel@gmail.com
U0000000000020;I0000010;rishikumar@gmail.com
U0000000000020;I0000010;rishikumar2@gmail.com
U0000000000020;I0000010;rishikumar3@gmail.com
U0000000000020;I0000010;rishikumar4@gmail.com
